%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909750007185902,17553,1669909749776434863,,-3.6136333214828817,-4.310309450247424,0.8890934694677123,0.07999998456646382,-0.042999949392739004,0.036999977240868294,-9.571249526558722e-146,-5.097131844564213e-143,-2.0607955286716023e-141,0.012071197904541364,0.003922696631812883,0.5051390070732378,-5.1936923439329e-07,1.3028740634454277e-07,6.6819681687901e-07
1669909750018309855,17554,1669909749860497683,,-3.6056775292488634,-4.30809528330083,0.8895975046850594,0.0829998926364668,-0.03900007182069545,0.036000007763750785,0.0,0.0,0.0,0.009920922737300941,0.0033795634005286956,0.5049346426866599,-5.198770025700556e-07,1.3025105525406278e-07,6.681896512428334e-07
1669909750100737232,17555,1669909749989999613,,-3.5937939512011137,-4.3073463341205045,0.8910296018577656,0.0829998926364668,-0.03900007182069545,0.036000007763750785,1.567435974996188e-218,1.7675271264778456e-218,9.799529337696375e-216,0.004702768323745943,0.002629797140169643,0.5045688733507632,-5.209080645761541e-07,1.30237759506732e-07,6.681555208202758e-07
1669909750222137749,17556,1669909750071773999,,-3.5850162721340064,-4.3056717731758605,0.8989238947353626,0.0869999232893151,-0.03799996456821828,0.03599997722103346,0.0,0.0,0.0,0.0024694449073496827,0.0025070679422611875,0.5043987505650378,-5.212646401359785e-07,1.3025777324107704e-07,6.681384661708148e-07
1669909750368688254,17557,1669909750199632359,,-3.5729178846307446,-4.304549005308474,0.9013153452280165,0.0869999232893151,-0.03799996456821828,0.03599997722103346,0.0,0.0,0.0,-0.002684271522673143,0.0023848812279805287,0.504010201395948,-5.221454128104213e-07,1.3029458827432716e-07,6.681243979575911e-07
1669909750437136388,17558,1669909750248264361,,-3.56613118236104,-4.303419628112793,0.8991869801775186,0.09199998472484583,-0.038999949185583256,0.03399997747442703,1.2405279441760032e-232,-1.6862834340295452e-232,-2.622218733000611e-235,-0.003747893443835082,0.002395853559832517,0.5039299002797701,-5.222194702642966e-07,1.3032222106179696e-07,6.681222978955208e-07
1669909750516283623,17559,1669909750422341453,,-3.5488306957543387,-4.3015986479245845,0.9105210176768952,0.09199998472484583,-0.038999949185583256,0.03399997747442703,0.0,0.0,0.0,-0.007244406175024309,0.0027146264683786114,0.5037127733808582,-5.225246045097329e-07,1.3040898305533826e-07,6.681900655680385e-07
1669909750666147644,17560,1669909750486407552,,-3.540732457932326,-4.30311934559831,0.910402259442192,0.0929999852635838,-0.044999949096567106,0.03199997826887934,3.3735033418337674e-80,3.3735033418337674e-80,0.0,-0.008120176591937422,0.0029139248707981125,0.5037987571244056,-5.225917334279753e-07,1.3048406098879746e-07,6.682564177941968e-07
1669909751033140615,17561,1669909750638775458,,-3.5230939986906917,-4.303818560044943,0.9185881725587891,0.0949999856935031,-0.0499999490672406,0.030999978902861706,5.336736769515385e-296,3.184152743181736e-296,2.4641097569148707e-294,-0.008544358419548814,0.0035765736027695283,0.5038756313851547,-5.224988032946024e-07,1.3063687250451598e-07,6.682358912637783e-07
1669909751052373319,17562,1669909750803406842,,-3.5054259881217504,-4.303434944989037,0.9211351774536478,0.0949999856935031,-0.0499999490672406,0.030999978902861706,4.908422839038418e-220,-1.0041800167615398e-221,-2.1536380363115293e-218,-0.0062247935150132605,0.004235752138777471,0.5028826578019299,-5.219328205143303e-07,1.307460675713339e-07,6.680110851682707e-07
1669909751177914367,17563,1669909750912345143,,-3.4922807955754323,-4.304764431943877,0.9301402325162824,0.09599998613128789,-0.05399994902990183,0.02999997954844297,0.0,0.0,0.0,-0.004044404325259876,0.004549327999583852,0.5018483063704053,-5.214712947224905e-07,1.3081132558560354e-07,6.677975143028203e-07
1669909751433530389,17564,1669909751140944248,,-3.465932744389033,-4.307136775874101,0.9385615102808732,0.09599998623187453,-0.0579999490236262,0.029999979696773493,0.0,0.0,0.0,0.003173769091301182,0.005211204761991439,0.49744323447044536,-5.204155715811265e-07,1.3092200382155996e-07,6.66999013367652e-07
1669909751555618040,17565,1669909751327199528,,-3.4452988385854746,-4.307657360150388,0.9416687475020334,0.09599998611346196,-0.05699999351277606,0.027000112764625755,0.0,0.0,0.0,0.006684940624039015,0.005377005377882327,0.4930603269463081,-5.201410726779322e-07,1.3095533859278532e-07,6.662515257330712e-07
1669909751740381809,17566,1669909751527677870,,-3.424196954398801,-4.306290111105455,0.9415780585108499,0.09599998537775846,-0.050999949372981,0.023999978437247497,0.0,0.0,0.0,0.00871882313999528,0.005223570796367483,0.48686895782055295,-5.201027899333155e-07,1.3090174288027884e-07,6.651615648963025e-07
1669909752087879195,17567,1669909751716576991,,-3.403086797444828,-4.305637531619766,0.9509058045079629,0.0979999851361675,-0.04999994952029547,0.021999978080984334,-7.427150654786534e-219,-1.1571215727209295e-217,-8.703278422812601e-216,0.00825460797798172,0.00443672588513877,0.479975532152217,-5.205250307935061e-07,1.307257677429468e-07,6.640958310587616e-07
1669909752109173709,17568,1669909751848516186,,-3.388551198797826,-4.305564143161827,0.9495482654510119,0.0979999851361675,-0.04999994952029547,0.021999978080984334,6.093304177004052e-307,3.064675300522915e-307,0.0,0.005984750296539332,0.003470676045662202,0.47456967133128103,-5.21167234436335e-07,1.3057229861893405e-07,6.633532677414032e-07
1669909752120356444,17569,1669909751926446318,,-3.380377520017189,-4.3047662245282545,0.9511587100146048,0.09799998495602183,-0.04799994971854637,0.02099997781533173,2.4487367145018314e-296,2.0643073181693586e-293,4.404167608016925e-292,0.004493859741165451,0.0029829435056178966,0.47251566686631286,-5.21472763318238e-07,1.3048530616822267e-07,6.631480385260952e-07
1669909752305850259,17570,1669909752103644673,,-3.3621756668792884,-4.305076455657577,0.9605993104323192,0.0949999849483903,-0.047999949892714604,0.01999997780407786,0.0,0.0,0.0,-0.0003683026247340848,0.0011656855481767536,0.46703727258718253,-5.224092689817098e-07,1.301668026286003e-07,6.623513911258636e-07
