%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909568934831050,15998,1669909568762915255,,-2.0737246565592637,-5.2417185411455955,0.7230831731929288,-0.06699973600289849,0.036999070700586466,-0.17800279284044823,0.0,0.0,0.0,0.0830288126345664,-0.007467260822242139,0.5011386062635523,-4.4391070078099726e-07,1.1121923510630396e-07,5.700995079380843e-07
1669909568979212672,15999,1669909568803781980,,-2.0774123429400113,-5.23621931309524,0.7167140123350052,-0.062022853256934705,0.048945221741810256,-0.15311423391819276,-1.6734776910834826e-220,-4.960466630188651e-219,2.171546442966676e-217,0.08958481761837334,-0.007984448881956041,0.5006912205843044,-4.4259155209265854e-07,1.1114704559690227e-07,5.698785409405104e-07
1669909569042861070,16000,1669909568929643132,,-2.087946277453742,-5.232886560703317,0.7018313408868152,-0.062022853256934705,0.048945221741810256,-0.15311423391819276,0.0,0.0,0.0,0.1025430059982142,-0.007392538259725967,0.49840285554326336,-4.40612999095033e-07,1.1150324248165418e-07,5.692324229034451e-07
1669909569209458913,16001,1669909568988207307,,-2.093985612653475,-5.225837711166845,0.6988964623815933,-0.05800050328442224,0.06299833973986961,-0.13600209680318542,1.8674301061337585e-64,2.59023066334764e-65,3.409851953326409e-63,0.10901875537822114,-0.006397984549682434,0.49678691956083654,-4.3962914123784323e-07,1.1179811878101665e-07,5.687845719693911e-07
1669909569248575731,16002,1669909569149554209,,-2.108141057275505,-5.219045399799582,0.6848927986064773,-0.05800050328442224,0.06299833973986961,-0.13600209680318542,-4.533934140764584e-77,-1.5550127580613504e-76,-4.6148815831142584e-77,0.12591251306892914,-0.0012702858882533974,0.4907080826512207,-4.3720285158103966e-07,1.1275538373672995e-07,5.673813388398291e-07
1669909569649049575,16003,1669909569195109509,,-2.1108010907330335,-5.211166483889922,0.6792780432799738,-0.04800156457019877,0.07599803115761429,-0.12000250130741355,0.0,0.0,0.0,0.12825194736267598,-0.00021696462473208555,0.48948762067691476,-4.370507505544672e-07,1.128793005753319e-07,5.671712988332367e-07
1669909569789956632,16004,1669909569308617242,,-2.120471055453134,-5.204532792632429,0.6678616003236423,-0.04800156457019877,0.07599803115761429,-0.12000250130741355,0.0,0.0,0.0,0.1381623913026111,0.004688548153170657,0.48373163673266006,-4.358280734665907e-07,1.1351510882661615e-07,5.660902800760044e-07
1669909569789998839,16005,1669909569376916798,,-2.1263244078290247,-5.200470312857336,0.6614373715812863,-0.04800156457019877,0.07599803115761429,-0.12000250130741355,0.0,0.0,0.0,0.14245821055876462,0.007097364064238221,0.48079618326667095,-4.3527943492439467e-07,1.1381650226691456e-07,5.655258587922999e-07
1669909569795525500,16006,1669909569418658897,,-2.130591100322467,-5.192397073160977,0.657492511216219,-0.04400070786535811,0.08799797450917493,-0.10700226726581517,0.0,0.0,0.0,0.14676218438281197,0.00965361346900373,0.47754172201423195,-4.3460766159580794e-07,1.1420865782398685e-07,5.647875249010033e-07
1669909569830934911,16007,1669909569559866454,,-2.1434658702839187,-5.17815259688494,0.6426968643342269,-0.04100051793157007,0.09799838096178523,-0.09700168964522217,6.379442852514778e-77,-1.380106309980152e-78,-1.5195809295045793e-77,0.15417491974234565,0.014631707017723983,0.4704970830353794,-4.3373610609754556e-07,1.147298011389145e-07,5.634849952111136e-07
1669909569847085533,16008,1669909569699499428,,-2.1557850937938574,-5.166726356235233,0.6373104741087814,-0.04100051793157007,0.09799838096178523,-0.09700168964522217,3.9502598220742334e-143,-1.5647995462145744e-142,-2.321611403157525e-141,0.16132527393980922,0.020273460386784237,0.4610632583616976,-4.330755567590197e-07,1.1520430235728232e-07,5.619296612521172e-07
1669909570232811887,16009,1669909569764319402,,-2.1646860071915417,-5.15703598221699,0.6322846341922201,-0.04299981610801339,0.109998812019844,-0.09000074732420914,-1.222077448885422e-78,2.5144469190637066e-77,-5.229160046166692e-78,0.16375913780864515,0.022715587637685886,0.45657108550125436,-4.3273214804894616e-07,1.1553009507857037e-07,5.608052155003152e-07
1669909570294531587,16010,1669909569953768870,,-2.184503547659433,-5.134185797210663,0.6218082682371766,-0.04200382411414274,0.12394679107168362,-0.08103426283938034,-1.6210940270736043e-64,2.0879639692628345e-63,-1.389397660075858e-63,0.16433613350187493,0.028108336166368986,0.4428388174041302,-4.3340440722459296e-07,1.157868252827906e-07,5.583840258022213e-07
1669909570309931811,16011,1669909570086770308,,-2.1995230305112052,-5.114567071066549,0.6142637682607003,-0.04100168502826526,0.13897510436145877,-0.07301334076671166,-3.199218212731994e-67,-4.997718632175658e-68,-1.0199087491676516e-65,0.16162154662139194,0.029917509563610167,0.43501417388145747,-4.340884074931495e-07,1.1577539220561329e-07,5.568830219582234e-07
1669909570347436732,16012,1669909570234971715,,-2.214480067400596,-5.096941430114792,0.608213922710587,-0.04100168502826526,0.13897510436145877,-0.07301334076671166,-9.827710389526805e-221,1.9472139302279145e-219,1.146691073436605e-219,0.15734190562858252,0.03124911324521662,0.4259030048084611,-4.348857002219792e-07,1.1568097039734503e-07,5.55298980115402e-07
1669909570740622722,16013,1669909570292245191,,-2.223212571791033,-5.088268861208031,0.6009530401862506,-0.04499962418885177,0.1459993377658706,-0.06500083189277917,-1.653233973589011e-221,4.2746463733222345e-221,6.208449403014835e-219,0.15424542405223285,0.03184740427949784,0.4201095847152452,-4.3556315069067507e-07,1.1558261872485778e-07,5.543537182875797e-07
1669909570815153622,16014,1669909570458364541,,-2.2405041639638075,-5.064243310539553,0.5962567001681841,-0.042000463911478374,0.15299900728564267,-0.061000621951448654,2.94405914159785e-197,9.301325245472588e-196,3.60388334845859e-197,0.14761099973828706,0.032462429850449226,0.4111199488309474,-4.3713026816047856e-07,1.1541464117274827e-07,5.524044780510641e-07
1669909570815192710,16015,1669909570593249281,,-2.255829881005251,-5.0501003539888005,0.5902803395125313,-0.04980959343272126,0.1471428413948049,-0.05123809600674765,0.0,0.0,0.0,0.1367189064466583,0.0340193613600821,0.3904041310555506,-4.3864479598844456e-07,1.1517209801531864e-07,5.479879080596128e-07
1669909570830464978,16016,1669909570690679776,,-2.266047850629742,-5.038088368436765,0.5898882234331648,-0.04980959343272126,0.1471428413948049,-0.05123809600674765,0.0,0.0,0.0,0.1317946725495034,0.034958642191462275,0.3766348453529602,-4.3919460155544325e-07,1.1503469254466911e-07,5.458140673659551e-07
1669909570830468574,16017,1669909570724979193,,-2.2695997021464396,-5.033827965658709,0.5888711081065051,-0.04980959343272126,0.1471428413948049,-0.05123809600674765,0.0,0.0,0.0,0.13091359925311075,0.035133272870780274,0.37388611582262143,-4.392981832044856e-07,1.1501276896924326e-07,5.454008905269613e-07
1669909570830536458,16018,1669909570746447314,,-2.271820542336267,-5.0311597380137245,0.5882335621633241,-0.04980959343272126,0.1471428413948049,-0.05123809600674765,1.259313874947409e-294,-4.666091237447771e-293,-1.5274621846739757e-293,0.12967320567986107,0.035373988117502364,0.36991083642302414,-4.3944809321647986e-07,1.1496182277466045e-07,5.448101363452228e-07
