%time,field.force.x,field.force.y,field.force.z,field.torque.x,field.torque.y,field.torque.z
1669909809170975886,7.677985966187488,-6.584179289603548,8.612956169075504,-0.9928368977055244,-5.60793456656441,2.2675944864802027
1669909809171122244,7.677985966187488,-6.584179289603548,8.612956169075504,-0.9929228174192372,-5.605786315910298,2.2675944864802027
1669909809171228989,7.128257095795642,-5.929739959502535,8.522940712995068,-0.9930348691675707,-5.602979481176126,1.0365691781096125
1669909809171359641,7.128257095795642,-5.929739959502535,8.522940712995068,-0.9930348691675707,-5.602979481176126,1.0365691781096125
1669909809171451050,7.128257095795642,-5.929739959502535,8.522940712995068,-0.9931822508185619,-5.599298599344989,1.0365691781096125
1669909809171544853,7.128257095795642,-5.929739959502535,8.522940712995068,-0.9931822508185619,-5.599298599344989,1.0365691781096125
1669909809171607283,7.128257095795642,-5.929739959502535,8.522940712995068,-0.9933522064930231,-5.595044183576614,1.0365691781096125
1669909809171676392,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.7244828333091808,-5.3126499985702775,1.0365691781096227
1669909809171732837,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9780005688877259,-5.574153267571195,1.0365691781096227
1669909809171775471,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9780005688877259,-5.574153267571195,1.0365691781096227
1669909809171833633,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.977970527674318,-5.569969840125939,1.0365691781096227
1669909809171884496,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.977970527674318,-5.569969840125939,1.0365691781096227
1669909809171926656,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9779382574822132,-5.5655117947747685,1.0365691781096227
1669909809171967673,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9779144231886011,-5.562205998496578,1.0365691781096227
1669909809172009853,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9779144231886011,-5.562205998496578,1.0365691781096227
1669909809207490889,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9778896306284203,-5.558767461097871,1.0365691781096227
1669909809207512995,7.196935210558447,-6.0998141470478835,8.532868977904483,-0.9778896306284203,-5.558767461097871,1.0365691781096227
1669909809207534663,7.198697689736146,-6.274689306017942,8.562753192798375,-0.789377694066359,-5.6978244802774025,1.036569178109645
1669909809223854990,7.198697689736146,-6.274689306017942,8.562753192798375,-0.9575892103885681,-5.567256357199723,1.036569178109645
1669909809223890045,7.198697689736146,-6.274689306017942,8.562753192798375,-0.9575892103885681,-5.567256357199723,1.036569178109645
1669909809238878720,7.198697689736146,-6.274689306017942,8.562753192798375,-0.9572914460456682,-5.562934757063733,1.036569178109645
1669909809268643298,7.198697689736146,-6.274689306017942,8.562753192798375,-0.9570599491848121,-5.559586051233967,1.036569178109645
1669909809283791664,7.198697689736146,-6.274689306017942,8.562753192798375,-0.9570599491848121,-5.559586051233967,1.036569178109645
1669909809303165670,7.198697689736146,-6.274689306017942,8.562753192798375,-0.9568645759872297,-5.556756530091929,1.036569178109645
1669909809317485662,7.193531744720027,-6.414042975724393,8.583008830410517,-0.8616963477416202,-5.999999999982862,1.0365691781096675
1669909809333126791,7.193531744720027,-6.414042975724393,8.583008830410517,-0.8616963477416202,-5.999999999982862,1.0365691781096675
1669909809643788186,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9503802900995874,-5.597402792133778,1.0365691781096675
1669909809693380024,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9501908107612926,-5.5955393827243665,1.0365691781096675
1669909809693395484,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9501908107612926,-5.5955393827243665,1.0365691781096675
1669909809693410579,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9498026140653265,-5.591725685093839,1.0365691781096675
1669909809693425503,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9498026140653265,-5.591725685093839,1.0365691781096675
1669909809693440951,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9494385703993782,-5.588162852406628,1.0365691781096675
1669909809693456213,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9492449034182806,-5.586264166728436,1.0365691781096675
1669909809693472257,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9490402515840158,-5.584251731097832,1.0365691781096675
1669909809693487702,7.193531744720027,-6.414042975724393,8.583008830410517,-0.9490402515840158,-5.584251731097832,1.0365691781096675
1669909809693502914,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9950853992997981,-5.999999999982725,1.0365691781096966
1669909809693518206,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9950853992997981,-5.999999999982725,1.0365691781096966
1669909809693532872,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9531489920474913,-5.667173337651505,1.0365691781096966
1669909809693547330,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9529787871799762,-5.665804984246451,1.0365691781096966
1669909809693562419,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9529787871799762,-5.665804984246451,1.0365691781096966
1669909809701173562,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9526734997522606,-5.663350030487339,1.0365691781096966
1669909809701188601,7.1456841480852304,-6.608630239404064,8.60376135278902,-0.9525107194008576,-5.66203514319221,1.0365691781096966
