%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909628901080038,16525,1669909628839588901,,-3.004056709803976,-5.280749918460338,0.46022796218688883,-1.4499257342276239e-08,-0.044000249660199546,0.005999692876227916,-3.728652589878931e-44,-5.190184837661033e-43,-2.2639718480153105e-41,0.02272258569171015,0.0016813423704533648,0.30125845000652696,-4.871184652715639e-07,1.1764419081514288e-07,5.565661543977437e-07
1669909629060368043,16526,1669909628884625320,,-3.000846005580303,-5.280910157875402,0.4604145143816879,0.006999985464208775,-0.041999963878902695,0.0029999785647318333,0.0,0.0,0.0,0.022076794906263686,0.0017506652712029336,0.30184615229452305,-4.872424729847378e-07,1.1764363237315522e-07,5.566461945085934e-07
1669909629339574132,16527,1669909629045590428,,-2.9935990116430244,-5.285615620099217,0.4426492589331293,0.01699733625496649,-0.04299969889857624,-0.05298518575523748,6.109796934836776e-307,-1.1032986472728848e-306,3.8654972895138397e-308,0.017553181571093646,0.0022267411844794083,0.3053584533991014,-4.882110246288508e-07,1.1779464369728081e-07,5.572920462252207e-07
1669909629351710912,16528,1669909629207563716,,-2.9889375240425813,-5.291299500212912,0.42930715769800276,0.01699733625496649,-0.04299969889857624,-0.05298518575523748,1.4053315045157887e-297,2.41619299768683e-296,3.74206886425542e-296,0.012955378227939462,0.003557761527700265,0.3087471923480116,-4.890621883061955e-07,1.1820286534192e-07,5.580209263479329e-07
1669909629447702862,16529,1669909629268666290,,-2.9900592416542056,-5.292371836668923,0.4206817671629577,0.012002015270947488,-0.040001182155763364,-0.1059784890466196,0.0,0.0,-4.1798521485368663e-120,0.011458897102794907,0.004352658191589143,0.3101374159794048,-4.892984221706227e-07,1.1839649952693595e-07,5.582975674866692e-07
1669909629590302938,16530,1669909629433231873,,-2.9853725934400486,-5.298266293238795,0.3931913173559675,0.013999051958379322,-0.04199902944641555,-0.13698552058041416,0.0,0.0,0.0,0.008141061086213597,0.007482525022526332,0.31483409839715826,-4.896935497482356e-07,1.1904170263742675e-07,5.592065535083227e-07
1669909629729086400,16531,1669909629574790167,,-2.981840471712392,-5.3032070468636805,0.37130783533249706,0.013999051958379322,-0.04199902944641555,-0.13698552058041416,-1.7798359330011497e-65,-3.1023164714935456e-66,-1.3522731706833926e-63,0.007038967642435168,0.009813320589390884,0.31796741033061693,-4.899387251996615e-07,1.1951897008203215e-07,5.597663757616761e-07
1669909629781432046,16532,1669909629628626919,,-2.9788975961057083,-5.305879237380045,0.361952128492099,0.01699866437788198,-0.04499864198399529,-0.16398812252096032,0.0,0.0,0.0,0.0062994964494969,0.011374987453343977,0.319777486278614,-4.900635502121887e-07,1.1978517761268936e-07,5.600526478740982e-07
1669909629843506922,16533,1669909629769666433,,-2.9749378437249687,-5.311105858813365,0.3503374167150477,0.01699866437788198,-0.04499864198399529,-0.16398812252096032,9.270512932321039e-145,2.5538096103214508e-143,7.634654424281065e-142,0.006019922635219999,0.01473096286682285,0.32390794713110793,-4.898616576699652e-07,1.202685522173464e-07,5.607789142716186e-07
1669909629987174490,16534,1669909629829387206,,-2.983218366616925,-5.314829226562551,0.3418277893181481,-0.00599312876612829,-0.04100116073164565,-0.14500570445509883,0.0,0.0,0.0,0.00677200248732035,0.015751116300158685,0.3255451825307176,-4.896540601582e-07,1.2036616094622618e-07,5.610526543909593e-07
1669909630041760217,16535,1669909629970618826,,-2.9825256286167257,-5.320550107684313,0.32106092102811296,-0.00599312876612829,-0.04100116073164565,-0.14500570445509883,-1.1900168341095499e-148,-5.5047794038161105e-146,-4.098830644662694e-144,0.009107742037539168,0.01715883617858971,0.3289622429000154,-4.892591675166145e-07,1.204848508638456e-07,5.616535433842888e-07
1669909630436151360,16536,1669909630023904059,,-2.9803069119909815,-5.323623508775292,0.3144090978758971,-0.003001095281551688,-0.043998880012671084,-0.12500724983021194,-1.2254557420134947e-298,-3.27204141602439e-300,-3.728699365023012e-297,0.009994642054397929,0.017367893899386644,0.3300535118168604,-4.891141468592018e-07,1.2046073460583727e-07,5.618237002197531e-07
1669909630455247673,16537,1669909630218122171,,-2.978488457862549,-5.331779808186525,0.2953305563876058,-0.0030000139266981485,-0.04399996355798832,-0.11600266877753707,0.0,0.0,0.0,0.013286578619034373,0.016878816737630586,0.3345172789338715,-4.888453437951279e-07,1.2022505364160497e-07,5.62584445696978e-07
